0.0,0.1148,0.5204,0.0836,0.1975,0.8719,0.1722,0.025,0.03,0.2086,0.8745,0.2053,0.053
0.0,0.098,0.3394,0.0542,0.2143,0.8869,0.1294,0.0242,0.0334,0.2175,0.8059,0.1933,0.0596
0.0,0.0794,0.3629,0.0569,0.219,0.9253,0.1268,0.0179,0.0264,0.1872,0.6713,0.1714,0.052
0.0,0.1166,0.535,0.0801,0.1952,0.8885,0.1437,0.0205,0.0283,0.1812,0.6655,0.1829,0.0704
0.0,0.1101,0.4811,0.068,0.2287,0.9335,0.1297,0.0222,0.0314,0.205,0.7669,0.1832,0.0361
0.0,0.1177,0.6017,0.0817,0.1491,0.5748,0.0809,0.0134,0.0238,0.2513,0.9216,0.1987,0.0214
0.0,0.0671,0.2971,0.0513,0.1033,0.4421,0.0869,0.0177,0.0257,0.2461,0.9883,0.2287,0.025
0.0,0.0473,0.175,0.0343,0.0979,0.4037,0.0795,0.0152,0.0219,0.2426,0.9525,0.2147,0.0397
0.0,0.1011,0.4804,0.0714,0.1476,0.6385,0.1007,0.0194,0.0305,0.2552,0.9362,0.2231,0.039
0.0,0.0494,0.2429,0.0328,0.1002,0.5256,0.0973,0.0097,0.017,0.2422,0.9759,0.19,0.0132
1.0,0.9309,0.2117,0.0481,0.142,0.4035,0.073,0.0591,0.2985,0.0956,0.0489,0.0489,0.2351
1.0,0.9536,0.1901,0.0262,0.1992,0.787,0.1505,0.0542,0.2414,0.0703,0.0237,0.0288,0.2062
1.0,0.9866,0.1918,0.0165,0.0645,0.3712,0.0925,0.0366,0.2265,0.0537,0.0148,0.0236,0.2255
1.0,0.928,0.1814,0.0398,0.1294,0.4334,0.1152,0.1079,0.4191,0.1223,0.0389,0.0324,0.1982
1.0,0.9796,0.1931,0.0273,0.1238,0.3842,0.0603,0.0487,0.2642,0.0672,0.0171,0.0253,0.2009
1.0,0.979,0.1761,0.0211,0.1196,0.4585,0.0871,0.0826,0.5079,0.1143,0.0182,0.0233,0.1963
1.0,0.9648,0.168,0.0299,0.0765,0.1995,0.0408,0.0779,0.4668,0.091,0.013,0.0222,0.2302
1.0,0.9791,0.1873,0.0372,0.1229,0.4388,0.0987,0.0795,0.4396,0.0921,0.0128,0.0182,0.224
1.0,0.9718,0.1655,0.0239,0.176,0.648,0.0951,0.0514,0.3001,0.0645,0.0117,0.0332,0.2663
1.0,0.956,0.1773,0.0363,0.1113,0.3609,0.0754,0.0704,0.3437,0.087,0.0247,0.0266,0.2146
2.0,0.0954,0.2231,0.9006,0.2545,0.0653,0.1171,0.4752,0.1224,0.0824,0.2724,0.1318,0.0735
2.0,0.0266,0.2306,0.9983,0.1748,0.0294,0.1146,0.4443,0.0496,0.0433,0.1945,0.0444,0.0151
2.0,0.0251,0.2382,0.9722,0.1644,0.0353,0.2002,0.7666,0.0802,0.0588,0.2632,0.0566,0.0152
2.0,0.0194,0.2338,0.9887,0.1546,0.0152,0.1563,0.6404,0.0628,0.0438,0.2023,0.0406,0.012
2.0,0.0234,0.2382,0.948,0.1601,0.043,0.0535,0.1658,0.0233,0.0552,0.2562,0.0479,0.0134
2.0,0.0238,0.1852,0.9328,0.2348,0.1199,0.1125,0.4805,0.0718,0.0484,0.2559,0.0667,0.0171
2.0,0.0232,0.1712,0.9621,0.2406,0.0596,0.0817,0.3985,0.0583,0.0343,0.1969,0.0517,0.016
2.0,0.0291,0.1924,0.9473,0.2366,0.0341,0.1298,0.7815,0.1256,0.0367,0.2132,0.0607,0.0158
2.0,0.0213,0.2247,0.9531,0.2066,0.0973,0.0624,0.1613,0.0285,0.0706,0.2707,0.0539,0.0151
2.0,0.0365,0.1886,0.9361,0.1845,0.0651,0.1388,0.6298,0.1071,0.0741,0.3105,0.0931,0.0291
3.0,0.1489,0.0252,0.0319,0.2141,0.9978,0.3351,0.0263,0.0187,0.1135,0.0834,0.0351,0.307
3.0,0.1367,0.0089,0.0122,0.1944,0.9964,0.3669,0.0167,0.0042,0.0357,0.0277,0.0173,0.2373
3.0,0.1339,0.0236,0.0235,0.2131,0.9989,0.3564,0.026,0.0125,0.0917,0.0728,0.0226,0.2196
3.0,0.17,0.0344,0.0455,0.2349,0.9868,0.3599,0.0526,0.0291,0.0743,0.0597,0.0416,0.2935
3.0,0.1577,0.0314,0.0315,0.1957,0.9979,0.2997,0.0457,0.038,0.0875,0.0644,0.0427,0.3313
3.0,0.1357,0.0399,0.0493,0.2293,0.9697,0.4071,0.0632,0.0382,0.0706,0.051,0.0342,0.2088
3.0,0.0846,0.0228,0.0307,0.2177,0.9947,0.3513,0.04,0.0187,0.043,0.0321,0.0282,0.1709
3.0,0.1653,0.0327,0.0394,0.2275,0.9685,0.3904,0.0602,0.0333,0.0439,0.033,0.0406,0.2772
3.0,0.1749,0.0298,0.0342,0.2274,0.9822,0.377,0.0393,0.0258,0.1046,0.0783,0.0393,0.3186
3.0,0.1344,0.0193,0.0257,0.2249,0.9948,0.3788,0.03,0.0103,0.064,0.0467,0.0196,0.2144
4.0,0.0981,0.0225,0.1042,0.0438,0.0181,0.0212,0.1947,0.9847,0.2058,0.0202,0.1074,0.574
4.0,0.1049,0.0254,0.1055,0.0586,0.0153,0.0213,0.1867,0.9976,0.3542,0.023,0.0319,0.2603
4.0,0.163,0.0379,0.1314,0.0959,0.0434,0.0491,0.2152,0.9871,0.3494,0.0507,0.0719,0.3793
4.0,0.2849,0.0316,0.0658,0.0466,0.0257,0.0319,0.2223,0.984,0.3026,0.0393,0.0846,0.6897
4.0,0.041,0.0085,0.0415,0.0237,0.0088,0.0184,0.2083,0.9978,0.3112,0.0149,0.0135,0.0934
4.0,0.1521,0.0227,0.1414,0.0399,0.0059,0.0154,0.2557,0.9872,0.1753,0.0133,0.1593,0.8013
4.0,0.1492,0.0581,0.0755,0.0671,0.0483,0.0417,0.1531,0.9908,0.3673,0.0489,0.0659,0.3359
4.0,0.0954,0.0337,0.114,0.0475,0.0223,0.0289,0.2266,0.9936,0.2018,0.0304,0.106,0.4855
4.0,0.1467,0.0107,0.0229,0.0193,0.0142,0.0233,0.1982,0.9762,0.2981,0.0151,0.0454,0.4965
4.0,0.0976,0.068,0.2502,0.0647,0.0266,0.0241,0.2305,0.9034,0.1328,0.0342,0.1789,0.6179
